Nome,Descrição
UERR,Universidade Estadual de Roraima
Exército,Exército Brasileiro
COPEVE-UFAL,Núcleo Executivo de Processos Seletivos da UFAL
CEV-URCA,Comissão Executiva do Vestibular - Universidade Regional do Cariri
FUNIVERSA,Fundação Universa
IASP,Instituto IASP
SIPROS,Sistema Integrado de Processo Seletivo Simplificado
Método Soluções Educacionais,Método Soluções Educacionais
USP,Universidade de São Paulo
FAEPESUL,Fundação de Apoio à Educação, Pesquisa e Extensão da Unisul
PGR,Procuradoria Geral da República
UFU-MG,Universidade Federal de Uberlândia - MG
CONESUL,Fundação CONESUL de Desenvolvimento
CAIP-IMES,Coordenadoria de Apoio a Instituições Públicas da Universidade Municipal de São Caetano do Sul - USCS
Fundação CETREDE,Fundação de Apoio à Cultura, à Pesquisa e ao Desenvolvimento Institucional, Científico e Tecnológico
EJUD-PI,Escola Judiciária do Piauí
IAN,Instituto de Avaliação Nacional
GSA CONCURSOS,Consultoria e Pesquisas em Instituições Públicas S/C Ltda
CMM - Concursos e Seletivos,Assessoria e Consultoria em Gestão Pública
UFRGS,Universidade Federal do Rio Grande do Sul
IPEFAE,Instituto de Pesquisas Econômicas
IUDS,Instituto Universal de Desenvolvimento Social
COVEST-COPSET,COVEST-COPSET - Comissão de Processos Seletivos e Treinamentos (UFPE)
ACEP,Associação Cearense de Estudos e Pesquisas
FEC,Fundação Euclides da Cunha - UFF
NCE-UFRJ,Núcleo de Computação Eletrônica da Universidade Federal do Rio de Janeiro
FADE - UFPE,Fundação Apoio ao Desenvolvimento da Universidade Federal de Pernambuco
UEPB,Universidade Estadual da Paraíba
MS Consultoria,MS Consultoria
Prefeitura de Bertioga - SP,Prefeitura Municipal de Bertioga - São Paulo
UNESP,Universidade Estadual Paulista Júlio de Mesquita Filho
PGE-PA,Procuradoria Geral do Estado do Pará
SPDM,Associação Paulista para o Desenvolvimento da Medicina
GUALIMP,GUALIMP Assessoria e Consultoria Ltda
MPE-BA,Ministério Público do Estado da Bahia
FAPEMS,Fundação de Apoio à Pesquisa, ao Ensino e à Cultura de Mato Grosso do Sul
CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais
MPE-PR,Ministério Público do Estado do Paraná
MPT,Ministério Público do Trabalho
CFC,Conselho Federal de Contabilidade
CEPERJ,Centro Estadual de Estatísticas, Pesquisas e Formação de Servidores - RJ
UESPI,Universidade Estadual do Piauí
EJEF,Escola Judicial Desembargador Edésio Fernandes
CEPS-UFPA,Centro de Processos Seletivos da Universidade Federal do Pará
INSTITUTO PRÓ-MUNICÍPIO,Instituto Pró-Município
INSTITUTO CIDADES,Instituto Cidades
TJ-AP,Tribunal de Justiça do Estado do Amapá
LJ Assessoria e Planejamento Administrativo Limita,LJ Assessoria e Planejamento Administrativo Limitada
Cepros,Comissão Executiva de Processo Seletivo
NEMESIS,NEMESIS - Consultoria e Assessoria
Prefeitura de Anchieta - ES,Prefeitura Municipal de Anchieta - ES
FCPC,Fundação Cearense de Pesquisa e Cultura
IDESUL,Instituto Sul Mineiro de Desenvolvimento Econômico e Social
FUCAP,Fucap Consultoria e Assessoria Pública
AJURI,Fundação Ajuri de Apoio ao Desenvolvimento da UFRR
Prefeitura de Rondonópolis - MT,Prefeitura Municipal de Rondonópolis - Mato Grosso
ACTIO ASSESSORIA,ACTIO ASSESSORIA
MetroCapital Soluções,MetroCapital Soluções
IF Sul Rio-Grandense,Instituto Federal de Educação, Ciência e Tecnologia Sul-rio-grandense - Rio Grande do Sul
UFRPE,Universidade Federal Rural de Pernambuco
UFSC,Universidade Federal de Santa Catarina
Planejar Consultoria,Planejar Consultoria
UFV,Universidade Federal de Viçosa
SIGMA ASSESSORIA,SIGMA Assessoria Administrativa
Prefeitura de Fortaleza - CE,Prefeitura de Fortaleza - CE
UFES,Universidade Federal do Espírito Santo
IMA,Instituto Machado de Assis
METRÓPOLE,Metrópole Serviços e Soluções Empresariais
UFAM,Universidade Federal do Amazonas
TJ-AC,Tribunal de Justiça do Estado do Acre
IF-RN,Instituto Federal de Educação, Ciência e Tecnologia - Rio Grande do Norte
TJ-MT,Tribunal de Justiça do Estado do Mato Grosso
UFGD,Universidade Federal da Grande Dourados
UERJ,Universidade do Estado do Rio de Janeiro
UFSCAR,Universidade Federal de São Carlos
MPE-RS,Ministério Público do Rio Grande do Sul
IF-MA,Instituto Federal de Educação, Ciência e Tecnologia - Maranhão
UFLA,Universidade Federal de Lavras
COSEAC,Coordenação de Seleção Acadêmica - UFF
BIO-RIO,Fundação Bio-Rio - Polo de Biotecnologia do Rio de Janeiro
MOVENS,Instituto MOVENS
FAURGS,Fundação de Apoio da Universidade Federal do Rio Grande do Sul
INEP BRASIL,Instituto Nacional de Educação, Pesquisa, Instrução e Segurança Pública
Instituto SEPROD,SEPROD | Instituto Seprod
Qconcursos,Qconcursos
Prefeitura de Belmonte - SC,Prefeitura Municipal de Belmonte - SC
ARES - CE,ARES | Apoio às Residências de Saúde - Ceará (CE)
Prefeitura de Coração de Jesus - MG,Prefeitura Municipal de Coração de Jesus
Prefeitura de Balneário Barra do Sul - SC,Prefeitura Municipal de Balneário Barra do Sul
PGM-NI,Procuradoria Geral do Município de Nova Iguaçu
IDESG,Instituto de Desenvolvimento Social, Gestão e Tecnologia
Prefeitura de Sobral - CE,Prefeitura de Sobral - CE
Instituto Tupy,Instituto Tupy
FADENOR,Fundação de Apoio ao Desenvolvimento do Ensino Superior do Norte de Minas
MDS,MDS Consultoria & Cursos em Saúde
Unesc,Universidade do Extremo Sul Catarinense - Criciúma
Prefeitura de Ipira - SC,Prefeitura Municipal de Ipira - Santa Catarina
IF-GO,Instituto Federal de Educação, Ciência e Tecnologia de Goiás
Prefeitura de Aurora - CE,Prefeitura Municipal de Aurora - Ceará
Prefeitura de Canelinha - SC,Prefeitura Municipal de Canelinha - Santa Catarina
IFB,Instituto Federal de Educação, Ciência e Tecnologia de Brasília
CRO - SC,Conselho Regional de Odontologia de Santa Catarina
Prefeitura de Indaial - SC,Prefeitura Municipal de Indaial - Santa Catarina
FEMA,Fundação Educacional Machado de Assis - RS
Serctam,Serviços de Consultoria Técnica aos Municípios
SEDUC - PI,Secretaria Estadual de Educação do Piauí
DAE de Bauru - SP,Departamento de Água e Esgoto de Bauru em São Paulo
SENAI - PR,Serviço Nacional de Aprendizagem Industrial – SENAI PR
Big Advice,Big Advice - Assessoria e Consultoria
Iniciativa Global,Iniciativa Global
Prefeitura de Londrina - PR,Prefeitura de Londrina - PR
Prefeitura de Vargem Grande Paulista - SP,Prefeitura Municipal de Vargem Grande Paulista - SP
PERFAS,Planejamento e Assessoria Municipal Ltda
IOPLAN,Instituto Oeste de Planejamento e Consultoria LTDA
Prefeitura de Catas Altas - MG,Prefeitura Municipal de Catas Altas - MG
Cursiva,Cursiva Assessoria e Consultoria
CSC Consultoria,CSC Consultoria
Unicamp,Universidade Estadual de Campinas
Calegariox Serviços,Calegariox Serviços e Corretagem de Seguros
SCHNORR,Schnorr - Contabilidade, Informática e Assessoria Ltda
Centec,Instituto Centro de Ensino Tecnológico - CE
HCRP,Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto
Prefeitura de Campinas - SP,Prefeitura Municipal de Campinas - SP
Unoesc,Fundação Universidade do Oeste de Santa Catarina
STATUS,Status Consultoria e Assessoria Pública
DIRECTA,DIRECTA Desenvolvimento Institucional e de Carreiras
Ápice Consultoria,Ápice Consultoria
CCV-UFS,Gestão de Pessoas da UFS
Aprender - SC,Aprender.com
ASSCONPP,ASSCONPP - Assessoria e Consultoria
UFRB,Universidade Federal do Recôncavo da Bahia
UFRR,Universidade Federal de Roraima
IF-BA,Instituto Federal de Educação, Ciência e Tecnologia - Bahia
IAT,Instituto de Administração e Tecnologia
IFF,Instituto Federal de Educação, Ciência e Tecnologia Fluminense
UFRJ,Universidade Federal do Rio de Janeiro
INQC,Instituto Nacional de Qualificação e Capacitação
IBEG,Instituto Brasileiro de Educação e Gestão
DPE-RJ,Defensoria Pública do Estado do Rio de Janeiro
INSTITUTO INEAA,Instituto Nacional de Engenharia Arquitetura e Agronomia
UFPB,Universidade Federal da Paraíba
INCP,Instituto Nacional de Concurso Público
PGE-GO,Procuradoria Geral do Estado de Goiás
IBC,Instituto Brio Conhecimentos
FRAMINAS,Fundação de Apoio e Desenvolvimento da Educação, Ciência e Tecnologia de Minas Gerais
IF-SP,Instituto Federal de Educação, Ciência e Tecnologia do Estado de São Paulo
IOBV,Instituto o Barriga Verde
UFSM,Universidade Federal de Santa Maria
PUC - RJ,Pontifícia Universidade Católica do Rio de Janeiro
UNICENTRO,Universidade Estadual do Centro-Oeste
UFOP,Universidade Federal de Ouro Preto
UNIFAL-MG,Universidade Federal de Alfenas
PC-SP,Polícia Civil de São Paulo
TJ-PR,Tribunal de Justiça do Estado do Paraná
PGM-RJ,Procuradoria Geral do Município do Rio de Janeiro
FMZ - AP,Fundação Marco Zero
FESMIP-BA,Fundação Escola Superior do Ministério Público da Bahia
IF-PR,Instituto Federal de Educação, Ciência e Tecnologia do Paraná
UFBA,Universidade Federal da Bahia
PaqTcPB,Fundação Parque Tecnológico da Paraíba
INTEGRI,INTEGRI Brasil - Assessoria e Consultoria
UNIMONTES,Universidade Estadual de Montes Claros - MG
UFF,Universidade Federal Fluminense
CEFET-AL,Centro Federal de Educação Tecnológica - Alagoas
PROGEPE,Pró-Reitoria de Gestão de Pessoas
FUNJAB-SC,Fundação José Arthur Boiteux
FMP Concursos,Fundação Escola Superior do Ministério Público
MPE-MG,Ministério Publico de Minas Gerais
FAE,FAE Centro Universitário
FIP,Fundação Ibirapuera de Pesquisa
ZAMBINI,Instituto Zambini
ACAFE,Associação Catarinense das Fundações Educacionais - ACAFE
REIS & REIS,Reis & Reis Auditores & Associados
FGR,Fundação Guimarães Rosa
EXATUS,AVR Assessoria Técnica Ltda
CONED,CONED - Consultoria e Assessoria Educacional Ltda
BRB,BRB Consultoria e Concurso
AMIGA PÚBLICA,Amiga Assessoria Técnica Administrativa e Informática Ltda
ACAPLAM,ACAPLAM - Consultoria e Assessoria Técnica a Estados e Municipios
FJPF,Fundação José Pelúcio Ferreira
UNIFASE - RJ,Centro Universitário Arthur Sá Earp Neto - Faculdade de Medicina de Petrópolis
Instituto Referência,Instituto Referência
Prefeitura de Pejuçara - RS,Prefeitura Municipal de Pejuçara | Rio Grande do Sul (RS)
Prefeitura de Barra Longa - MG,Prefeitura Municipal de Barra Longa | Minas Gerais (MG)
IASD,Instituto de Assessoria e Desenvolvimento
Prefeitura de Itapevi - SP,Prefeitura Municipal de Itapevi - SP
Prefeitura de Iguatu - CE,Prefeitura Municipal de Iguatu - CE
IF Baiano,Instituto Federal de Educação, Ciência e Tecnologia Baiano
UFR,Universidade Federal de Rondonópolis
PM-MT,Polícia Militar do Estado do Mato Grosso
UFSBA,Universidade Federal do Sul da Bahia
Prefeitura de Cândido de Abreu - PR,Prefeitura Municipal de Cândido de Abreu
PGE-RN,Procuradoria Geral do Estado do Rio Grande do Norte
Prefeitura de Alto Araguaia - MT,Prefeitura Municipal de Alto Araguaia
Prefeitura de Treviso - SC,Prefeitura de Treviso - SC
Prefeitura de Bataguassu - MS,Prefeitura de Bataguassu - MS
CIESP,Consórcio Intermunicipal de Especialidades
UNIFESO,Centro Universitário Serra dos Órgãos
Prefeitura de Cacimbinhas - AL,Prefeitura Municipal de Cacimbinhas
ESMARN,Escola da Magistratura do Estado do Rio Grande do Norte
Unichristus,Centro Universitário Christus
FPS,Faculdade Pernambucana de Saúde
Prefeitura de Bom Despacho - MG,Prefeitura Municipal de Bom Despacho
SEAD-GO,Secretaria de Estado da Administração de Goiás
SES - PB,Secretaria de Estado da Saúde da Paraíba
Prefeitura de Mondaí - SC,Prefeitura Municipal de Mondaí
Prefeitura de Pescaria Brava - SC,Prefeitura Municipal de Pescaria Brava - SC
FSA,Centro Universitário Fundação Santo André
FURG,Fundação Universidade Federal do Rio Grande
Prefeitura de Caxambu do Sul - SC,Prefeitura Municipal de Caxambu do Sul - SC
CEAF,Centro de Estudos e Aperfeiçoamento Profissional
Prefeitura de Picos - PI,Prefeitura Municipal de Picos - PI
Instituto Darwin,Instituto Darwin
PROFNIT,Programa de Pós-Graduação em Propriedade Intelectual e Transferência de Tecnologia para a Inovação
ESPM,Escola Superior de Propaganda e Marketing
Asconprev,Assessoria, Consultoria Contábil, Previdência e Gestão de Pessoas
NTCS,NTCS
FSPSS,Fundação de Saúde Pública de São Sebastião - SP
AV MOREIRA,AV MOREIRA
UNIVALI,Universidade do Vale do Itajaí - Santa Catarina
FASTEF,Fundação de Apoio a Serviços Técnicos, Ensino e Fomento a Pesquisa
FUNDEPES,Fundação Universitária de Desenvolvimento de Extensão e Pesquisa
Prefeitura de Imperatriz - MA,Prefeitura Municipal de Imperatriz - Maranhão
Prefeitura de Bombinhas - SC,Prefeitura Municipal de Bombinhas - Santa Catarina
IMAGINE,Instituto Imagine
Prefeitura de Major Vieira - SC,Prefeitura Municipal de Major Vieira - Santa Catarina
Prefeitura de Santana do Deserto - MG,Prefeitura Municipal de Santana do Deserto - Minas Gerais
Prefeitura de Arapiraca - AL,Prefeitura de Arapiraca - AL
FAPEC - AL,Fundação Alagoana de Pesquisa, Educação e Cultura
Prefeitura de Lontras - SC,Prefeitura Municipal de Lontras - Santa Catarina
Prefeitura de Balneário Camboriú - SC,Prefeitura Municipal de Balneário Camboriú - Santa Catarina
Prefeitura de Anagé - BA,Prefeitura Municipal de Anagé - Bahia
ATENA,Atena Assessoria Educacional
AMAZUL,Amazônia Azul Tecnologias de Defesa S.A
Prefeitura de Motuca - SP,Prefeitura Municpal de Motuca - São Paulo
FUNDECT,Fundação de Apoio ao Desenvolvimento do Ensino, Ciência e Tecnologia do Estado de Mato Grosso do Sul
Fundação Editora Unesp - SP,Fundação Editora Unesp - São Paulo
BANPARÁ,Banco do Estado do Pará
TJ-MS,Tribunal de Justiça do Mato Grosso do Sul
Faculdade Alfa Umuarama - PR,Grupo de Ensino Alfa Umuarama - Paraná
Iamspe - SP,Instituto de Assistência Médica ao Servidor Público Estadual
Prefeitura de Altamira do Paraná-PR,Prefeitura Municipal de Altamira do Paraná
Prefeitura de Santa Bárbara - MG,Prefeitura Municipal de Santa Bárbara - Minas Gerais
Unibave,Centro Universitário Barriga Verde
FAEPOL,Fundação de Apoio ao Ensino e Pesquisa da Polícia Civil
NBS,NBS Serviços Especializados Eireli
Instituto de Seleção,Instituto de Seleção
IF Sertão - PE,Instituto Federal de Educação, Ciência e Tecnologia Sertão Pernambucano
SEMASA Itajaí,Serviço Municipal de Água, Saneamento Básico e Infraestrutura de Itajaí - Santa Catarina
Colégio Pedro II,Colégio Pedro II
IF Sudeste - MG,Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais
PROGESP - UFRR,Pró-Reitoria de Gestão de Pessoas da UFRR
FIOCRUZ,Fundação Oswaldo Cruz
UVA,Universidade Estadual Vale do Acaraú - Ceará
URI - Santo Ângelo,Universidade Regional Integrada do Alto Uruguai e das Missões - Santo Ângelo
Câmara de Mongaguá - SP,Câmara Municipal da Estância Balneária de Mongaguá - São Paulo
Prefeitura de Seara - SC,Prefeitura Municipal de Seara - Santa Catarina
Prefeitura de Palhoça - SC,Prefeitura Municipal de Palhoça - Santa Catarina
Prefeitura de Gaspar - SC,Prefeitura Municipal de Gaspar - Santa Catarina
Prefeitura de Coqueiral - MG,Prefeitura Municipal de Coqueiral - Minas Gerais
IF SUL - MG,Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais
SEDUC - CE,Secretaria de Estado de Educação do Ceará
Prefeitura de Itambaracá - PR,Prefeitura Municipal de Itambaracá - PR
Prefeitura de Arenápolis - MT,Prefeitura Municipal de Arenápolis - Mato Grosso
Jota Consultoria,Consultoria e Serviços Administrativos
EPBAZI,EPBAZI Consultoria O&M
CKM Serviços,CKM Serviços
RHS Consult,RHS Consult
SCGás,Companhia de Gás de Santa Catarina - SC
Prefeitura de Tijucas - SC,Prefeitura Municipal de Tijucas - SC
Prefeitura de Campinápolis - MT,Prefeitura Municipal de Campinápolis - MT
UFC,Universidade Federal do Ceará
Gestão Concurso,Gestão Concurso
Prefeitura de São Roque do Canaã - ES,Prefeitura Municipal de São Roque do Canaã - ES
PROAM,PROAM - Assessoria e Consultoria
Prefeitura de Bom Retiro - SC,Prefeitura Municipal de Bom Retiro
Prefeitura de Formiga - MG,Prefeitura Municipal de Formiga - MG
UNESPAR,Universidade Estadual do Paraná
Ufersa,Universidade Federal Rural do Semi-Árido
FUNDAPE,Fundação de Apoio e Desenvolvimento ao Ensino, Pesquisa e Extensão Universitária no Acre – FUNDAPE
Prefeitura de Garuva- SC,Prefeitura Municipal de Garuva- SC
IF-RR,Instituto Federal de Educação, Ciência e Tecnologia de Roraima
Prefeitura de Betim - MG,Prefeitura Municipal de Betim - MG
ConsultoriaEGP,Consultoria - Empresa de Gestão Pública
IF-SUL,Instituto Federal de Educação, Ciência e Tecnologia Sul-Rio-Grandense
UEM,Universidade do Estado de Maringá
PROGRAD-UFU,Pró-Reitoria de Ensino e Graduação da Universidade Federal de Uberlândia
Prefeitura de Bauru - SP,Prefeitura de Bauru - SP
INAZ do Pará,INAZ do Pará - Serviços de Concurso Público Ltda
UFCA,Universidade Federal do Cariri
Prefeitura de Xanxerê - SC,Prefeitura Municipal de Xanxerê - SC
Prefeitura de Vitor Meireles - SC,Prefeitura Municipal de Vitor Meireles - SC
Instituto Ágata,Instituto de Desenvolvimento Social Ágata
CISCOPAR,Consórcio Intermunicipal de Saúde Costa Oeste do Paraná
Prime Concursos,TAVARES E SILVA CONCURSOS PÚBLICOS LTDA ME
IF-MT,Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso
Instituto Coelho Neto,Instituto Coelho Neto
PROGEP,Pró-Reitoria de Gestão e Desenvolvimento de Pessoas
SEGPLAN-GO,Secretaria de Estado de Gestão e Planejamento de Goiás
ESP - CE,Escola de Saúde Pública do Ceará
FUNCEPE,Fundação de Cultura e Apoio ao Ensino, Pesquisa e Extensão
CRF-TO,Conselho Regional de Farmácia do Tocantins
FUNVAPI,Fundação Vale do Piauí
IF-PA,Instituto Federal Pará
Prefeitura de Florianópolis - SC,Prefeitura Municipal de Florianópolis
Prefeitura de Contagem - MG,Prefeitura de Contagem - MG
Unifei,Universidade Federal de Itajubá
Instituto Indec,Instituto Nacional de Desenvolvimento Educacional e Capacitação
Orhion Consultoria,Orhion Consultoria
NUBES,NUBES Tecnologia e Serviços
Fundação de Apoio à UNESPAR,Fundação de Apoio à UNESPAR
CLICK,Click Soluções
Sigma Consultoria e Pesquisas,Sigma Consultoria e Pesquisas
IESAP,Instituto Escola Superior de Aperfeiçoamento Profissional
UNA Concursos,UNA Gestão e Assessoria
IF-TO,Instituto Federal de Educação, Ciência e Tecnologia - Tocantins
FEMPERJ,Fundação Escola Superior do Ministério Público do Estado do Rio de Janeiro
CISLIPA,Consórcio Intermunicipal de Saúde do Litoral do Paraná
AGU,Advocacia Geral da União
UNIFESP,Universidade Federal de São Paulo
Prefeitura de São Miguel do Oeste - SC,Prefeitura Municipal de São Miguel do Oeste - SC
DPE-PE,Defensoria Pública do Estado de Pernambuco
UFTM,Universidade Federal do Triangulo Mineiro
SUSTENTE,Instituto Sustente
UNIUV,Centro Universitário de União da Vitória
Instituto Acesso,Instituto Acesso de Ensino, Pesquisa, Avaliação, Seleção e Emprego
MGS,Minas Gerais Administração e Serviços S.A
UTFPR,Universidade Tecnológica Federal do Paraná
SRH,Superintendência de Recursos Humanos
CONTEMAX,Consultoria Técnica e Planejamento LTDA
FUNEC,Fundação de Ensino de Contagem
TJ-GO,Tribunal Regional de Justiça do Estado de Goiás
COPESE - UFPI,Universidade Federal do Piauí - UFPI
FUNTEF-PR,Fundação de Apoio à Educação, Pesquisa e Desenvolvimento Científico e Tecnológico da Universidade Tecnológica Federal do Paraná
Prefeitura de Toledo - PR,Prefeitura Municipal de Toledo
Instituto Ânima Sociesc,Instituto Ânima Sociesc de Inovação, Pesquisa e Cultura
UFSJ,Universidade Federal de São João del Rei
UNILAB,Universidade da Integração Internacional da Lusofonia Afro-Brasileira
FUNCEFET,FUNCEFET
IF-ES,Instituto Federal do Espírito Santo
MPE-MA,Ministério Público do Estado do Maranhão
IF-MG,Instituto Federal de Educação, Ciência e Tecnologia do Estado de Minas Gerais
MPE-MT,Ministério Público do Estado de Mato Grosso
PC-RS,Polícia Civil do Rio Grande do Sul
SUGEP - UFRPE,Superintendência de Gestão e Desenvolvimento de Pessoas
IF-PB,Instituto Federal de Educação, Ciência e Tecnologia da Paraíba
MPE-RJ,Ministério Público do Estado do Rio de Janeiro
MPM,Ministério Público Militar
COPEVE-UFMS,Comissão Permatente do Vestibular - UFMS
PGE-RJ,Procuradoria Geral do Estado do Rio de Janeiro
UFCG,Universidade Federal de Campina Grande
UEPA,Universidade do Estado do Pará
Coperve - FURG,Comissão Permanente do Concurso Vestibular
UDESC,Universidade do Estado de Santa Catarina
UEG,Núcleo de Seleção da Universidade do Estado de Goiás
PC-RJ,Polícia Civil do Estado do Rio de Janeiro
UFRN-PRH,Pró Reitoria de Recursos Humanos da UFRN
PC-MG,Polícia Civil de Minas Gerais
FUJB,Fundação Universitária José Bonifácio
MPDFT,Ministério Público do Distrito Federal e Territórios
MPE-MS,Ministério Público do Estado do Mato Grosso do Sul
MPE-SP,Ministério Público do Estado de São Paulo
PGE-RO,Procuradoria Geral do Estado de Rondônia
PGE-MS,Procuradoria Geral do Estado do Mato Grosso do Sul
IF-MS,Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul
ISAE,Instituto Superior de Administração e Economia
TJ-DFT,Tribunal de Justiça do Distrito Federal e dos Territórios
IFC,Instituto Federal de Educação, Ciência e Tecnologia Catarinense
FAPESE,Fundação de Apoio à Pesquisa e Extensão de Sergipe
FADURPE,Fundação Apolônio Salles de Desenvolvimento Educacional
Prefeitura do Rio de Janeiro - RJ,Prefeitura Municipal do Rio de Janeiro
UFABC,Universidade Federal do ABC
UFPA,Universidade Federal do Pará
COPESE - UFJF,Comissão Permanente de Vestibular da UFJF
UFRRJ,Universidade Federal Rural do Rio de Janeiro
UFMG,Universidade Federal do Minas Gerais
IF-RJ,Instituto Federal de Educação, Ciência e Tecnologia - Rio de Janeiro
COPESE - UFT,Comissão Permanente de Seleção - Universidade Federal do Tocantins
MPE-PB,Ministério Público do Estado da Paraíba
IF-PE,Instituto Federal de Educação, Ciência e Tecnologia - Pernambuco
FDC,Fundação Dom Cintra
CEPUERJ,Centro de Produção da UERJ
